====== Params Pre-analysis =======
args:  Namespace(audio_feature='chinese-hubert-large-UTT', batch_size=32, contrastive_temperature=0.07, contrastive_weight=0.1, cross_kl_weight=0.01, dataset='MER2023', debug=False, dropout=0.35, e2e_dim=None, e2e_name=None, early_stopping_patience=30, emo_loss_weight=1.0, epochs=100, feat_scale=1, feat_type='utt', feature_noise_prob=0.35, feature_noise_std=0.04, feature_noise_warmup=5, focal_gamma=2.0, fusion_residual_scale=0.4, fusion_temperature=1.0, gate_alpha=0.5, gpu=0, grad_clip=1.0, hidden_dim=128, huber_beta=0.8, hyper_path=None, kl_warmup_epochs=20, kl_weight=0.01, l2=5e-05, label_smoothing=0.1, lr=0.0005, lr_adjust='case1', lr_factor=0.5, lr_patience=10, mixup_alpha=0.4, modality_agreement_weight=0.01, modality_dropout=0.18, modality_dropout_warmup=15, model='attention_robust_v7', n_classes=None, num_attention_heads=4, num_workers=0, print_iters=100000000.0, recon_weight=0.1, reg_loss_type='smoothl1', reliability_temperature=1.0, save_iters=100000000.0, save_root='/root/autodl-tmp/MERTools-master/MERBench/attention_robust_v7/outputs/sweep_results/v7sw_noise_focus_vlw1.2_vcw0.14_nsd0.04_20260214_170326-trimodal', savemodel=False, test_dataset=None, text_feature='Baichuan-13B-Base-UTT', train_dataset=None, use_contrastive=True, use_dynamic_kl=True, use_gated_fusion=True, use_gated_uncertainty=True, use_mixup=False, use_modality_dropout=True, use_proxy_attention=True, use_vae=True, use_valence_prior=True, val_loss_weight=1.2, valence_center_reg_weight=0.005, valence_consistency_weight=0.14, video_feature='clip-vit-large-patch14-UTT', weight_consistency_weight=0.02)
====== Reading Data =======
train: sample number 3373
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/3373 [00:00<?, ?it/s] 34%|███▍      | 1142/3373 [00:00<00:00, 11414.98it/s] 74%|███████▍  | 2512/3373 [00:00<00:00, 12593.31it/s]100%|██████████| 3373/3373 [00:00<00:00, 11805.08it/s]
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/3373 [00:00<?, ?it/s] 31%|███       | 1034/3373 [00:00<00:00, 10294.38it/s] 61%|██████    | 2064/3373 [00:00<00:00, 9818.02it/s]  90%|█████████ | 3048/3373 [00:00<00:00, 8821.70it/s]100%|██████████| 3373/3373 [00:00<00:00, 9182.72it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/3373 [00:00<?, ?it/s] 47%|████▋     | 1572/3373 [00:00<00:00, 15570.01it/s] 93%|█████████▎| 3130/3373 [00:00<00:00, 15205.41it/s]100%|██████████| 3373/3373 [00:00<00:00, 15467.64it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
test1: sample number 411
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/411 [00:00<?, ?it/s]100%|██████████| 411/411 [00:00<00:00, 11221.94it/s]
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/411 [00:00<?, ?it/s]100%|██████████| 411/411 [00:00<00:00, 11095.26it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/411 [00:00<?, ?it/s]100%|██████████| 411/411 [00:00<00:00, 13681.64it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
test2: sample number 412
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/412 [00:00<?, ?it/s]100%|██████████| 412/412 [00:00<00:00, 13059.95it/s]
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/412 [00:00<?, ?it/s]100%|██████████| 412/412 [00:00<00:00, 11210.42it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/412 [00:00<?, ?it/s]100%|██████████| 412/412 [00:00<00:00, 15677.08it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
test3: sample number 834
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/834 [00:00<?, ?it/s]100%|██████████| 834/834 [00:00<00:00, 11834.49it/s]
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/834 [00:00<?, ?it/s]100%|██████████| 834/834 [00:00<00:00, 9453.34it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/834 [00:00<?, ?it/s]100%|██████████| 834/834 [00:00<00:00, 13276.79it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
train&val folder:5; test sets:3
audio dimension: 1024; text dimension: 5120; video dimension: 768
====== Training and Evaluation =======
>>>>> Cross-validation: training on the 1 folder >>>>>
Step1: build model (each folder has its own model)
/root/miniconda3/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:60: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Step2: training (multiple epoches)
epoch:1; metric:emoval; train:-0.1438; eval:0.0030; lr:0.000500
epoch:2; metric:emoval; train:0.3146; eval:0.3814; lr:0.000500
epoch:3; metric:emoval; train:0.5234; eval:0.4408; lr:0.000500
epoch:4; metric:emoval; train:0.5780; eval:0.5805; lr:0.000500
epoch:5; metric:emoval; train:0.6218; eval:0.5413; lr:0.000500
epoch:6; metric:emoval; train:0.6548; eval:0.5583; lr:0.000500
epoch:7; metric:emoval; train:0.6730; eval:0.4777; lr:0.000500
epoch:8; metric:emoval; train:0.6885; eval:0.5113; lr:0.000500
epoch:9; metric:emoval; train:0.6929; eval:0.5477; lr:0.000500
epoch:10; metric:emoval; train:0.6952; eval:0.5263; lr:0.000500
epoch:11; metric:emoval; train:0.7238; eval:0.5218; lr:0.000500
epoch:12; metric:emoval; train:0.7315; eval:0.4901; lr:0.000500
epoch:13; metric:emoval; train:0.7278; eval:0.5475; lr:0.000500
epoch:14; metric:emoval; train:0.7351; eval:0.5304; lr:0.000500
epoch:15; metric:emoval; train:0.7309; eval:0.5786; lr:0.000250
epoch:16; metric:emoval; train:0.8025; eval:0.5310; lr:0.000250
epoch:17; metric:emoval; train:0.7976; eval:0.5546; lr:0.000250
epoch:18; metric:emoval; train:0.7998; eval:0.5246; lr:0.000250
epoch:19; metric:emoval; train:0.7994; eval:0.5191; lr:0.000250
epoch:20; metric:emoval; train:0.7958; eval:0.5519; lr:0.000250
epoch:21; metric:emoval; train:0.7961; eval:0.5792; lr:0.000250
epoch:22; metric:emoval; train:0.7824; eval:0.5479; lr:0.000250
epoch:23; metric:emoval; train:0.7880; eval:0.5307; lr:0.000250
epoch:24; metric:emoval; train:0.7866; eval:0.5485; lr:0.000250
epoch:25; metric:emoval; train:0.7685; eval:0.5261; lr:0.000250
epoch:26; metric:emoval; train:0.7702; eval:0.5756; lr:0.000125
epoch:27; metric:emoval; train:0.7920; eval:0.5584; lr:0.000125
epoch:28; metric:emoval; train:0.8021; eval:0.5646; lr:0.000125
epoch:29; metric:emoval; train:0.7787; eval:0.5739; lr:0.000125
epoch:30; metric:emoval; train:0.7928; eval:0.5754; lr:0.000125
epoch:31; metric:emoval; train:0.7825; eval:0.5744; lr:0.000125
epoch:32; metric:emoval; train:0.7961; eval:0.5663; lr:0.000125
epoch:33; metric:emoval; train:0.7857; eval:0.5879; lr:0.000125
epoch:34; metric:emoval; train:0.7932; eval:0.5840; lr:0.000125
epoch:35; metric:emoval; train:0.7851; eval:0.5648; lr:0.000125
epoch:36; metric:emoval; train:0.7968; eval:0.5801; lr:0.000125
epoch:37; metric:emoval; train:0.8074; eval:0.5741; lr:0.000125
epoch:38; metric:emoval; train:0.8042; eval:0.5738; lr:0.000125
epoch:39; metric:emoval; train:0.8025; eval:0.5676; lr:0.000125
epoch:40; metric:emoval; train:0.7900; eval:0.5505; lr:0.000125
epoch:41; metric:emoval; train:0.8050; eval:0.5804; lr:0.000125
epoch:42; metric:emoval; train:0.8049; eval:0.5578; lr:0.000125
epoch:43; metric:emoval; train:0.8011; eval:0.5692; lr:0.000125
epoch:44; metric:emoval; train:0.7785; eval:0.5882; lr:0.000125
epoch:45; metric:emoval; train:0.8071; eval:0.5807; lr:0.000125
epoch:46; metric:emoval; train:0.8014; eval:0.5607; lr:0.000125
epoch:47; metric:emoval; train:0.8076; eval:0.5518; lr:0.000125
epoch:48; metric:emoval; train:0.8098; eval:0.5721; lr:0.000125
epoch:49; metric:emoval; train:0.7940; eval:0.5731; lr:0.000125
epoch:50; metric:emoval; train:0.7890; eval:0.5712; lr:0.000125
epoch:51; metric:emoval; train:0.8099; eval:0.5537; lr:0.000125
epoch:52; metric:emoval; train:0.8277; eval:0.5490; lr:0.000125
epoch:53; metric:emoval; train:0.8064; eval:0.5686; lr:0.000125
epoch:54; metric:emoval; train:0.8153; eval:0.5781; lr:0.000125
epoch:55; metric:emoval; train:0.8166; eval:0.5669; lr:0.000063
epoch:56; metric:emoval; train:0.8384; eval:0.5762; lr:0.000063
epoch:57; metric:emoval; train:0.8332; eval:0.5920; lr:0.000063
epoch:58; metric:emoval; train:0.8222; eval:0.5659; lr:0.000063
epoch:59; metric:emoval; train:0.8364; eval:0.5856; lr:0.000063
epoch:60; metric:emoval; train:0.8395; eval:0.5614; lr:0.000063
epoch:61; metric:emoval; train:0.8262; eval:0.5927; lr:0.000063
epoch:62; metric:emoval; train:0.8312; eval:0.5911; lr:0.000063
epoch:63; metric:emoval; train:0.8480; eval:0.5834; lr:0.000063
epoch:64; metric:emoval; train:0.8417; eval:0.5903; lr:0.000063
epoch:65; metric:emoval; train:0.8523; eval:0.5760; lr:0.000063
epoch:66; metric:emoval; train:0.8406; eval:0.5836; lr:0.000063
epoch:67; metric:emoval; train:0.8487; eval:0.5802; lr:0.000063
epoch:68; metric:emoval; train:0.8415; eval:0.5759; lr:0.000063
epoch:69; metric:emoval; train:0.8318; eval:0.5791; lr:0.000063
epoch:70; metric:emoval; train:0.8337; eval:0.5795; lr:0.000063
epoch:71; metric:emoval; train:0.8477; eval:0.5766; lr:0.000063
epoch:72; metric:emoval; train:0.8616; eval:0.5909; lr:0.000031
epoch:73; metric:emoval; train:0.8523; eval:0.5925; lr:0.000031
epoch:74; metric:emoval; train:0.8461; eval:0.5830; lr:0.000031
