====== Params Pre-analysis =======
args:  Namespace(audio_feature='chinese-hubert-large-UTT', batch_size=32, contrastive_temperature=0.07, contrastive_weight=0.1, cross_kl_weight=0.01, dataset='MER2023', debug=False, dropout=0.35, e2e_dim=None, e2e_name=None, early_stopping_patience=30, epochs=100, feat_scale=1, feat_type='utt', focal_gamma=2.0, fusion_temperature=1.0, gate_alpha=0.5, gpu=0, grad_clip=1.0, hidden_dim=128, hyper_path=None, kl_warmup_epochs=20, kl_weight=0.01, l2=5e-05, label_smoothing=0.1, lr=0.0005, lr_adjust='case1', lr_factor=0.5, lr_patience=10, mixup_alpha=0.4, modality_dropout=0.15, modality_dropout_warmup=20, model='attention_robust_v5', n_classes=None, num_attention_heads=4, num_workers=0, print_iters=100000000.0, recon_weight=0.1, save_iters=100000000.0, save_root='./saved-trimodal', savemodel=False, test_dataset=None, text_feature='Baichuan-13B-Base-UTT', train_dataset=None, use_contrastive=True, use_dynamic_kl=True, use_gated_fusion=True, use_mixup=True, use_modality_dropout=True, use_proxy_attention=True, use_vae=True, video_feature='clip-vit-large-patch14-UTT')
====== Reading Data =======
train: sample number 3373
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/3373 [00:00<?, ?it/s] 34%|███▍      | 1145/3373 [00:00<00:00, 11434.06it/s] 68%|██████▊   | 2289/3373 [00:00<00:00, 11389.00it/s]100%|██████████| 3373/3373 [00:00<00:00, 7099.27it/s] 
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/3373 [00:00<?, ?it/s] 12%|█▏        | 416/3373 [00:00<00:00, 4151.04it/s] 25%|██▌       | 858/3373 [00:00<00:00, 4299.80it/s] 46%|████▋     | 1568/3373 [00:00<00:00, 5561.25it/s] 63%|██████▎   | 2124/3373 [00:00<00:00, 5212.08it/s] 79%|███████▊  | 2649/3373 [00:00<00:00, 4214.40it/s] 92%|█████████▏| 3096/3373 [00:00<00:00, 4138.73it/s]100%|██████████| 3373/3373 [00:00<00:00, 4349.85it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/3373 [00:00<?, ?it/s] 33%|███▎      | 1109/3373 [00:00<00:00, 11089.40it/s] 67%|██████▋   | 2244/3373 [00:00<00:00, 11227.42it/s]100%|█████████▉| 3367/3373 [00:00<00:00, 7735.22it/s] 100%|██████████| 3373/3373 [00:00<00:00, 8440.70it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
test1: sample number 411
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/411 [00:00<?, ?it/s]100%|██████████| 411/411 [00:00<00:00, 8729.86it/s]
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/411 [00:00<?, ?it/s]100%|██████████| 411/411 [00:00<00:00, 9817.24it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/411 [00:00<?, ?it/s]100%|██████████| 411/411 [00:00<00:00, 14174.96it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
test2: sample number 412
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/412 [00:00<?, ?it/s]100%|██████████| 412/412 [00:00<00:00, 13316.69it/s]
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/412 [00:00<?, ?it/s]100%|██████████| 412/412 [00:00<00:00, 11470.27it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/412 [00:00<?, ?it/s]100%|██████████| 412/412 [00:00<00:00, 12650.19it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
test3: sample number 834
audio feature root: /root/autodl-tmp/MERTools-master/MERBench/dataset/mer2023-dataset-process/features/chinese-hubert-large-UTT
  0%|          | 0/834 [00:00<?, ?it/s]100%|██████████| 834/834 [00:00<00:00, 14824.51it/s]
Input feature chinese-hubert-large-UTT ===> dim is (1, 1024)
  0%|          | 0/834 [00:00<?, ?it/s]100%|██████████| 834/834 [00:00<00:00, 11358.78it/s]
Input feature Baichuan-13B-Base-UTT ===> dim is (1, 5120)
  0%|          | 0/834 [00:00<?, ?it/s]100%|██████████| 834/834 [00:00<00:00, 15827.71it/s]
Input feature clip-vit-large-patch14-UTT ===> dim is (1, 768)
train&val folder:5; test sets:3
audio dimension: 1024; text dimension: 5120; video dimension: 768
====== Training and Evaluation =======
>>>>> Cross-validation: training on the 1 folder >>>>>
Step1: build model (each folder has its own model)
/root/miniconda3/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:60: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Step2: training (multiple epoches)
epoch:1; metric:emoval; train:-0.3425; eval:-0.0622; lr:0.000500
epoch:2; metric:emoval; train:0.0895; eval:0.2567; lr:0.000500
epoch:3; metric:emoval; train:0.3952; eval:0.4414; lr:0.000500
epoch:4; metric:emoval; train:0.5330; eval:0.4687; lr:0.000500
epoch:5; metric:emoval; train:0.6187; eval:0.4262; lr:0.000500
epoch:6; metric:emoval; train:0.6498; eval:0.4467; lr:0.000500
epoch:7; metric:emoval; train:0.7106; eval:0.5194; lr:0.000500
epoch:8; metric:emoval; train:0.7192; eval:0.5225; lr:0.000500
epoch:9; metric:emoval; train:0.7826; eval:0.4347; lr:0.000500
epoch:10; metric:emoval; train:0.7685; eval:0.4666; lr:0.000500
epoch:11; metric:emoval; train:0.7738; eval:0.5296; lr:0.000500
epoch:12; metric:emoval; train:0.8002; eval:0.5119; lr:0.000500
epoch:13; metric:emoval; train:0.8384; eval:0.5429; lr:0.000500
epoch:14; metric:emoval; train:0.8544; eval:0.4790; lr:0.000500
epoch:15; metric:emoval; train:0.8377; eval:0.4840; lr:0.000500
epoch:16; metric:emoval; train:0.8580; eval:0.5101; lr:0.000500
epoch:17; metric:emoval; train:0.8589; eval:0.4129; lr:0.000500
epoch:18; metric:emoval; train:0.8516; eval:0.5222; lr:0.000500
epoch:19; metric:emoval; train:0.8776; eval:0.4447; lr:0.000500
epoch:20; metric:emoval; train:0.8739; eval:0.5254; lr:0.000500
epoch:21; metric:emoval; train:0.8965; eval:0.5280; lr:0.000500
epoch:22; metric:emoval; train:0.8880; eval:0.4616; lr:0.000500
epoch:23; metric:emoval; train:0.8987; eval:0.4924; lr:0.000500
epoch:24; metric:emoval; train:0.8929; eval:0.4374; lr:0.000250
epoch:25; metric:emoval; train:0.9151; eval:0.5309; lr:0.000250
epoch:26; metric:emoval; train:0.9266; eval:0.5244; lr:0.000250
epoch:27; metric:emoval; train:0.9239; eval:0.4874; lr:0.000250
epoch:28; metric:emoval; train:0.9314; eval:0.5434; lr:0.000250
epoch:29; metric:emoval; train:0.9227; eval:0.5232; lr:0.000250
epoch:30; metric:emoval; train:0.9325; eval:0.5062; lr:0.000250
epoch:31; metric:emoval; train:0.9263; eval:0.5322; lr:0.000250
epoch:32; metric:emoval; train:0.9118; eval:0.5110; lr:0.000250
epoch:33; metric:emoval; train:0.9093; eval:0.5132; lr:0.000250
epoch:34; metric:emoval; train:0.8954; eval:0.5189; lr:0.000250
epoch:35; metric:emoval; train:0.9166; eval:0.5023; lr:0.000250
epoch:36; metric:emoval; train:0.9161; eval:0.5101; lr:0.000250
epoch:37; metric:emoval; train:0.8856; eval:0.5198; lr:0.000250
epoch:38; metric:emoval; train:0.9013; eval:0.5325; lr:0.000250
epoch:39; metric:emoval; train:0.8985; eval:0.5320; lr:0.000125
epoch:40; metric:emoval; train:0.8989; eval:0.5476; lr:0.000125
epoch:41; metric:emoval; train:0.9236; eval:0.5094; lr:0.000125
epoch:42; metric:emoval; train:0.9161; eval:0.5449; lr:0.000125
epoch:43; metric:emoval; train:0.9154; eval:0.5392; lr:0.000125
epoch:44; metric:emoval; train:0.9224; eval:0.5470; lr:0.000125
epoch:45; metric:emoval; train:0.9201; eval:0.5337; lr:0.000125
epoch:46; metric:emoval; train:0.9280; eval:0.5463; lr:0.000125
epoch:47; metric:emoval; train:0.9238; eval:0.5384; lr:0.000125
epoch:48; metric:emoval; train:0.9134; eval:0.5433; lr:0.000125
epoch:49; metric:emoval; train:0.9203; eval:0.5118; lr:0.000125
epoch:50; metric:emoval; train:0.9266; eval:0.5159; lr:0.000125
epoch:51; metric:emoval; train:0.9305; eval:0.5222; lr:0.000063
epoch:52; metric:emoval; train:0.9285; eval:0.5290; lr:0.000063
epoch:53; metric:emoval; train:0.9314; eval:0.5105; lr:0.000063
epoch:54; metric:emoval; train:0.9225; eval:0.5256; lr:0.000063
epoch:55; metric:emoval; train:0.9388; eval:0.5059; lr:0.000063
epoch:56; metric:emoval; train:0.9309; eval:0.5161; lr:0.000063
epoch:57; metric:emoval; train:0.9345; eval:0.5246; lr:0.000063
epoch:58; metric:emoval; train:0.9374; eval:0.5292; lr:0.000063
epoch:59; metric:emoval; train:0.9365; eval:0.5251; lr:0.000063
epoch:60; metric:emoval; train:0.9393; eval:0.5075; lr:0.000063
epoch:61; metric:emoval; train:0.9343; eval:0.5053; lr:0.000063
epoch:62; metric:emoval; train:0.9364; eval:0.5410; lr:0.000031
epoch:63; metric:emoval; train:0.9361; eval:0.5311; lr:0.000031
epoch:64; metric:emoval; train:0.9431; eval:0.5139; lr:0.000031
epoch:65; metric:emoval; train:0.9442; eval:0.5108; lr:0.000031
epoch:66; metric:emoval; train:0.9506; eval:0.5105; lr:0.000031
epoch:67; metric:emoval; train:0.9405; eval:0.5119; lr:0.000031
epoch:68; metric:emoval; train:0.9482; eval:0.5122; lr:0.000031
epoch:69; metric:emoval; train:0.9456; eval:0.4965; lr:0.000031
epoch:70; metric:emoval; train:0.9429; eval:0.5047; lr:0.000031
Early stopping at epoch 70, best epoch: 40
